A	TRACTO ALIMENTARIO Y METABOLISMO
A05BA05	EPOMEDIOL
A05BA06	ORNITINA OXOGLURATO
A05BA07	ARGININA TIDIÁCICA
A05C	FÁRMACOS PARA TERAPIA BILIAR Y LIPOTRÓPICOS EN COMBINACIÓN
A06	LAXANTES
A06A	LAXANTES
A06AA	SUAVIZANTES
A06AA01	PARAFINA LÍQUIDA
A06AA02	DOCUSATO SÓDICO
A06AA51	PARAFINA LÍQUIDA, COMBINACIONES
A06AB	LAXANTES DE CONTACTO
A06AB01	OXIFENISATINA
A06AB02	BISACODIL
A06AB03	DANTRÓN
A06AB04	FENOLFTALEÍNA
A06AB05	ACEITE DE CASTOR
A06AB06	GLICÓSIDOS DE SENNA
A06AB07	CÁSCARA
A06AB08	PICOSULFATO SÓDICO
A06AB09	BISOXATIN
A06AB20	LAXANTES DE CONTACTO EN COMBINACIÓN
A06AB30	LAXANTES DE CONTACTO EN COMBINACIÓN CON ALCALOIDES DE LA BELLADONA
A06AB52	BISACODIL, COMBINACIONES
A06AB53	DANTRÓN, COMBINACIONES
A06AB56	GLICÓSIDOS DE SENNA, COMBINACIONES
A06AB57	CÁSCARA, COMBINACIONES
A06AB58	PICOSULFATO SÓDICO, COMBINACIONES
A06AC	FORMADORES DE VOLUMEN
A06AC01	ISPAGHULA
A06AC02	ETULOSA
A06AC03	ESTERCULIA
A06AC05	LINSEED
A06AC06	METILCELULOSA
A06AC07	TRITICUM
A06AC08	POLICARBOFIL CÁLCICO
A06AC51	ISPAGHULA, COMBINACIONES
A06AC53	ESTERCULIA, COMBINACIONES
A06AC55	LINSED, COMBINACIONES
A06AD	LAXANTES DE MECANISMO OSMÓTICO
A06AD01	MAGNESIO, CARBONATO
A06AD02	MAGNESIO, ÓXIDO
A06AD03	MAGNESIO, PERÓXIDO
A06AD04	MAGNESIO, SULFATO
A06AD10	SALES MINERALES EN COMBINACIÓN
A06AD11	LACTULOSA
A06AD12	LACTITOL
A06AD13	SODIO, SULFATO
A06AD14	PENTAERIFRITIL
A06AD15	MACROGOL
A06AD16	MANITOL
A06AD17	SODIO, FOSFATO
A06AD18	SORBITOL
A06AD19	MAGNESIO, CITRATO
A06AD21	SODIO TARTRATO
A06AD61	LACTULOSA, COMBINACIONES
A06AD65	MACROGOL, COMBINACIONES
A06AG	ENEMAS
A06AG01	SODIO, FOSFATO
A06AG02	BISACODIL
A06AG03	DANTRÓN, INCLUIDAS COMBINACIONES
A06AG04	GLICEROL
A06AG06	ACEITE
A06AG07	SORBITOL
A06AG10	DOCUSATO SÓDICO, INCLUIDAS COMBINACIONES
A06AG11	LAURILSULFATO, INCLUIDAS COMBINACIONES
A06AG20	COMBINACIONES
A06AH	ANTAGONISTAS DEL RECEPTOR OPIOIDE PERIFÉRICO
A06AH01	METILNALTREXONA BROMURO
A06AX	OTROS LAXANTES
A06AX01	GLICEROL LAXANTE
A06AX02	DIÓXIDO DE CARBONO
A07	ANTIDIARREICOS
A07A	ANTIINFECCIOSOS INTESTINALES
A07AA	ANTIBIÓTICOS
A07AA01	NEOMICINA
A07AA02	NISTATINA
A07AA03	NATAMICINA,
A07AA04	ESTREPTOMICINA
A07AA05	POLIMIXINA B
A07AA06	PAROMOMICINA
A07AA07	ANFOTERICINA B
A07AA08	KANAMICINA
A07AA09	VANCOMICINA
A07AA10	COLISTINA
A07AA11	RIFAXIMINA
A07AA51	NEOMICINA, COMBINACIONES
A07AA54	STREPTOMYCINA, COMBINACIONES
A07AB	SULFONAMIDAS
A07AB02	FTALILSULFATIAZOL
A07AB03	SULFAGUANIDINA
A07AB04	SUCCINILSULFATIAZOL
A07AC	DERIVADOS IMIDAZÓLICOS
A07AC01	MICONAZOL
A07AX	OTROS ANTIINFECCIOSOS INTESTINALES
A07AX01	BROXIQUINOLINA
A07AX02	ACETARSOL
A07AX03	NIFUROXAZIDA
A07AX04	NIFURZIDE
A07B	ADSORBENTES INTESTINALES
A07BA	PREPARADOS CON CARBÓN
A07BA01	CARBÓN MEDICINAL
A07BA51	CARBÓN MEDICINAL, COMBINACIONES
A07BB	PREPARADOS CON BISMUTO
A07BC	OTROS ADSORBENTES INTESTINALES
A07BC01	PECTINA,
A07BC02	CAOLÍN,
A07BC03	CROSPOVIDONA,
A07BC04	ATAPULGITE,
A07BC05	DIOSMECTITE,
A07BC30	COMBINACIONES
A07BC54	ATAPULGITE, COMBINACIONES
A07C	ELECTROLITOS CON HIDRATOS DE CARBONO
A07CA	FORMULACIONES DE SALES DE REHIDRATACIÓN ORAL
A07D	ANTIPROPULSIVOS
A07DA	ANTIPROPULSIVOS
A07DA01	DIFENOXILATO
A07DA02	OPIO
A07DA03	LOPERAMIDA
A07DA04	DIFENOXINA
A07DA05	LOPERAMIDA, ÓXIDO
A07DA52	MORFINA, COMBINACIONES
A07DA53	LOPERAMIDA
A07E	ANTIINFLAMATORIOS INTESTINALES
A07EA	CORTICOSTEROIDES DE ACCIÓN LOCAL
A07EA01	PREDNISOLONA
A07EA02	HIDROCORTISONA
A07EA03	PREDNISONA
A07EA04	BETAMETASONA
A07EA05	TIXOCORTOL
A07EA06	BUDESONIDA
A07EA07	BECLOMETASONA
A07EB	AGENTES ANTIALÉRGICOS, EXCLUIDOS CORTICOESTEROIDES
A07EB01	CROMOGLÍCICO, ÁCIDO
A07EC	AMINOSALICÍLICO ÁCIDO Y AGENTES SIMILARES
A07EC01	SULFASALAZINA
A07EC02	MESALAZINA
A07EC03	OLSALAZINA
A07EC04	BALSALAZIDA
A07F	MICROORGANISMOS ANTIDIARREICOS
A07FA	MICROORGANISMOS ANTIDIARREICOS
A07FA01	ORGANISMOS PRODUCTORES DE ÁCIDO LÁCTICO
A07FA02	SACCHAROMYCES BOULARDII
A07FA51	ORGANISMOS PRODUCTORES DE ÁCIDO LÁCTICO
A07X	OTROS ANTIDIARREICOS
A07XA	OTROS ANTIDIARREICOS
A07XA01	TANATO DE ALBÚMINA
A07XA02	CERATONIA
A07XA03	COMPUESTOS DE CALCIO
A07XA04	RACECADOTRIL
A07XA51	TANATO DE ALBÚMINA, COMBINACIONES
A08	PREPARADOS ANTIOBESIDAD
A08A	PREPARADOS ANTIOBESIDAD
A08AA	PREPARADOS ANTIOBESIDAD DE ACCIÓN CENTRAL
A08AA01	FENTERMINA
A08AA02	FENFLURAMINA
A08AA03	ANFEPRANONA
A08AA04	DEXFENFLURAMINA
A08AA05	MAZINDOL
A08AA06	ETILANFETAMINA
A08AA07	CATINA
A08AA08	CLOBENZOREX
A08AA09	MEFENOREX
A08AA10	SIBUTRAMINA
A08AA56	EFEDRINA, COMBINACIONES
A08AB	PRODUCTOS ANTIOBESIDAD DE ACCIÓN PERIFÉRICA
A08AB01	ORLISTAT
A09	DIGESTIVOS
A09A	DIGESTIVOS
A09AA	PREPARADOS DE ENZIMAS
A09AA01	DIASTASA
A09AA02	MULTIENZIMAS (LIPASA, PROTEASA ETC)
A09AA03	PEPSINA
A09AA04	TILACTASA
A09AB	PREPARADOS DE ÁCIDOS
A09AB01	ÁCIDO HIDROCLOROGLUTÁMICO
A09AB02	HIDROCLOROBETAÍNA
A09AB03	HIDROCLÓRICO, ÁCIDO
A09AB04	CÍTRICO, ÁCIDO
A09AC	PREPARADOS DE ENZIMAS Y ÁCIDOS
A09AC01	PREPARACIONES CON PEPSINA Y ÁCIDOS
A09AC02	MULTIENZIMAS Y PREPARADOS DE ÁCIDOS
A10	ANTIDIABÉTICOS
A10A	INSULINAS Y ANÁLOGOS
A10AB	INSULINAS Y ANÁLOGOS DE ACCIÓN RÁPIDA PARA INYECCIÓN
A10AB01	INSULINA HUMANA PARA INYECCIÓN
A10AB02	INSULINA, (VACA)
A10AB03	INSULINA, (CERDO)
A10AB04	INSULINA LISPRO
A10AB05	INSULINA ASPART
A10AB06	INSULINA GLULISINA
A10AB30	COMBINACIONES
A10AC	INSULINAS Y ANÁLOGOS DE ACCIÓN INTERMEDIA PARA INYECCIÓN
A10AC01	INSULINA HUMANA
A10AC02	INSULINA, (VACA)
A10AC03	INSULINA,(CERDO)
A10AC04	INSULINA LISPRO
A10AC30	COMBINACIONES
A10AD	COMBINACIONES DE INSULINAS Y ANÁLOGOS DE ACCIÓN INTERMEDIA Y ACCIÓN RÁPIDA PARA INYECCIÓN
A10AD01	INSULINA HUMANA
A10AD02	INSULINA, (VACA)
A10AD03	INSULINA, (CERDO)
A10AD04	INSULINA LISPRO
A10AD05	INSULINA ASPART
A10AD30	COMBINACIONES
A10AE	INSULINAS Y ANÁLOGOS DE ACCIÓN PROLONGADA PARA INYECCIÓN
A10AE01	INSULINA (HUMANA)
A10AE02	INSULINA, (VACA)
A10AE03	INSULINA, (CERDO)
A10AE04	INSULINA GLARGINA
A10AE05	INSULINA DETEMIR
A10AE30	COMBINACIONES
A10AF	INSULINAS Y ANÁLOGOS PARA INHALACIÓN
A10AF01	INSULINA (HUMANA)
A10B	FÁRMACOS HIPOGLUCEMIANTES ORALES EXCLUYENDO INSULINAS
A10BA	BIGUANIDAS
A10BA01	FENFORMINA
A10BA02	METFORMINA
A10BA03	BUFORMINA
A10BB	DERIVADOS DE SULFONILUREAS
A10BB01	GLIBENCLAMIDA
A10BB02	CLORPROPAMIDA
A10BB03	TOLBUTAMIDA
A10BB04	GLIBORNURIDA
A10BB05	TOLAZAMIDA
A10BB06	CARBUTAMIDA
A10BB07	GLIPIZIDA
A10BB08	GLIQUIDONA
A10BB09	GLICLAZIDA
A10BB10	METAHEXAMIDA
A10BB11	GLISOXEPIDA
A10BB12	GLIMEPIRIDE
A10BB31	ACETOHEXAMIDA
A10BC	SULFONAMIDAS (HETEROCÍCLICAS)
A10BC01	GLIMIDINA
A10BD	COMBINACIONES DE FÁRMACOS HIPOGLUCEMIANTES ORALES
A10BD01	FENFORMINA Y SULFONAMIDAS
A10BD02	METFORMINA Y SULFONAMIDAS
A10BD03	METFORMINA Y ROSIGLITAZONA
A10BD05	METFORMINA Y PIOGLITAZONA
A10BD06	GLIMEPIRIDA Y PIOGLITAZONA
A10BD07	METFORMINA Y SITAGLIPTINA
A10BD08	METFORMINA Y VILDAGLIPTINA
A10BF	INHIBIDORES DE LA ALFA GLUCOSIDASA
A10BF01	ACARBOSA
A10BF02	MIGLITOL
A10BF03	VOGLIBOSA
A10BG	TIAZOLIDINADIONAS
A10BG01	TROGLITAZONA
A10BG02	ROSIGLITAZONA
A10BG03	PIOGLITAZONA
A10BH	INHIBIDORES DE LA DIPEPTIDIL PEPTIDASA 4
A10BH01	SITAGLIPTINA
A10BH02	VILDAGLIPTINA
A10BX	OTROS FÁRMACOS HIPOGLUCEMIANTES ORALES EXCLUYENDO INSULINAS
A10BX01	GOMA GUAR
A10BX02	REPAGLINIDA
A10BX03	NATEGLINIDA
A10BX04	EXENATIDA
A10X	OTRAS DROGAS USADAS EN DIABETES
A10XA	INHIBIDORES DE LA ALDOSA REDUCTASA
A10XA01	TOLRESTAT
A11	VITAMINAS
A11A	MULTIVITAMINAS
A11AA	MULTIVITAMINAS CON MINERALES
A11AA01	MULTIVITAMÍNICOS CON HIERRO
A11AA02	MULTIVITAMINAS Y CALCIO
A11AA03	MULTIVITAMINAS Y OTROS MINERALES
A11AA04	MULTIVITAMÍNICOS CON OLIGOELEMENTOS
A11AB	MULTIVITAMINAS
A11B	MULTIVITAMÍNICOS SOLOS
A11BA	MULTIVITAMÍNICOS SOLOS
A11C	VITAMINAS A Y D
A11CA	VITAMINA A SOLA
A11CA01	RETINOL
A11CA02	BETACAROTENO
A11CB	VITAMINA A Y D EN ASOCIACIÓN
A11CC	VITAMINA D Y ANÁLOGOS
A11CC01	ERGOCALCIFEROL
A11CC02	DIHIDROTAQUISTEROL
A11CC03	ALFACALCIDOL
A11CC04	CALCITRIOL
A11CC05	COLECALCIFEROL
A11CC06	CALCIFEDIOL
A11CC20	COMBINACIONES
A11D	VITAMINA B1
A11DA	VITAMINA B1 SOLA
A11DA01	TIAMINA
A11DA02	SULBUTIAMINA
A11DB	VITAMINA B1 EN ASOCIACIÓN CON VITAMINA B6 Y
A11E	VITAMINAS DEL COMPLEJO B
A11EA	VITAMINAS DEL COMPLEJO B SOLAS
A11EB	VITAMINAS DEL COMPLEJO B CON VITAMINA C
A11EC	VITAMINA DEL COMPLEJO B CON MINERALES
A11ED	VITAMINAS DEL COMPLEJO B CON ESTEROIDES ANABÓLICOS
A11EX	VITAMINAS DEL COMPLEJO B
A11G	ASCÓRBICO ÁCIDO
A11GA	ASCÓRBICO ÁCIDO
A11GA01	ASCÓRBICO ÁCIDO
A11GB	ASCÓRBICO ÁCIDO
A11GB01	ÁCIDO ASCÓRBICO (VITAMINA C) Y CALCIO
A11H	OTROS PREPARADOS DE VITAMINAS
A11HA	OTROS PREPARADOS DE VITAMINAS
A11HA01	NICOTINAMIDA
A11HA02	PIRIDOXINA (VIT B6)
A11HA03	TOCOFEROL (VIT E)
A11HA04	RIBOFLAVINA (VIT B2)
A11HA05	BIOTINA
A11HA06	PIRIDOXAL, FOSFATO
A11HA07	INOSITOL
A11HA30	DEXPANTENOL
A11HA31	PANTOTENATO CÁLCICO
A11HA32	PANTETINA
A11J	OTROS PRODUCTOS CON VITAMINAS
A11JA	ASOCIACIONES DE VITAMINAS
A11JB	VITAMINAS CON MINERALES
A11JC	VITAMINAS
A12	SUPLEMENTOS MINERALES
A12A	CALCIO
A12AA	CALCIO
A12AA01	FOSFATO CÁLCICO
A12AA02	GLUBIONATO CÁLCICO
A12AA03	GLUCONATO CÁLCICO
A12AA04	CARBONATO CÁLCICO
A12AA05	LACTATO CÁLCICO
A12AA06	GLUCONATO-LACTATO CÁLCICO
A12AA07	CLORHIDRATO CÁLCICO
A12AA08	GLICEROLFOSFATO CÁLCICO
A12AA09	COMPLEJO DE LISINA-CITRATO CÁLCICO
A12AA10	GLUCOHEPTONATO CÁLCICO
A12AA11	PANGAMATO CÁLCICO
A12AA12	ACETATO CÁLCICO
A12AA20	DIFERENTES SALES CÁLCICAS EN COMBINACIÓN
A12AA30	LEVULATO CÁLCICO
A12AX	CALCIO
A12B	POTASIO
A12BA	POTASIO
A12BA01	CLORHIDRATO POTÁSICO
A12BA02	CITRATO POTÁSICO
A12BA03	HIDROGENOTARTRATO POTÁSICO
A12BA05	GLUCONATO POTÁSICO
A12BA30	COMBINACIONES
A12BA51	CLORHIDRATO POTÁSICO, COMBINACIONES
A12C	OTROS SUPLEMENTOS MINERALES
A12CA	SODIO
A12CA01	CLORHIDRATO SÓDICO
A12CA02	SULFATO SÓDICO
A12CB	ZINC
A12CB01	SULFATO DE CINC
A12CB02	GLUCONATO DE CINC
A12CB03	COMPLEJO PROTEINAS-CINC
A12CC	MAGNESIO
A12CC01	CLORHIDRATO DE MAGNESIO
A12CC02	SULTAFO DE MAGNESIO
A12CC03	GLUCONATO DE MAGNESIO
A12CC04	CITRATO DE MAGNESIO
A12CC05	ASPARTATO DE MAGNESIO
A12CC06	LACTATO DE MAGNESIO
A12CC07	LEVULINATO DE MAGNESIO
A12CC08	PIDOLATO DE MAGNESIO
A12CC09	OROTATO DE MAGNESIO
A12CC10	ÓXIDO DE MAGNESIO
A12CC30	MAGNESIO (DIFERENTES SALES EN COMBINACIÓN)
A12CD	FLUORUROS
