"AHQP008";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs";"52,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHQP010";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, sans étude de la conduction proximale";"53,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHQP009";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, avec étude de la conduction proximale sur au moins 4 nerfs";"59,11";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHQP011";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"49,59";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHQP012";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";"56,11";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHQP013";"Mesure des vitesses de conduction sensitive du nerf dorsal du pénis";"39,07";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"ADQP014";"Mesure du réflexe trigéminopalpébral [réflexe de clignement] et/ou du réflexe massétérin";"43,58";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHQB019";"Mesure des latences des réflexes sacraux";"54,10";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHQD003";"Mesure des latences distales du nerf pudendal [nerf honteux], par stimulation intrarectale";"61,12";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHRP001";"Épreuve de stimulation répétitive d'au moins 2 nerfs pour recherche de bloc de la jonction neuromusculaire";"67,13";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHQP900";"Mesure du réflexe nociceptif R III";"Non pris en charge";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AHQP016";"Mesure des réflexes H et/ou T";"";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQP007";"Électroencéphalographie sur au moins 8 dérivations, avec enregistrement d'une durée minimale de 20 minutes";"57,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQP011";"Électroencéphalographie sur au moins 8 dérivations avec enregistrement d'une durée minimale de 20 minutes, au lit du malade";"73,30";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQP006";"Électroencéphalographie de longue durée de 1 à 4 heures sur au moins 8 dérivations, avec enregistrement vidéo";"105,37";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQP010";"Électroencéphalographie de longue durée de plus de 4 heures sur au moins 8 dérivations, avec enregistrement vidéo";"159,49";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQP002";"Électroencéphalographie continue ambulatoire sur au moins 8 dérivations, pendant au moins 24 heures [Holter EEG]";"145,97";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQP009";"Électroencéphalographie avec quantification, sur au moins 32 dérivations";"78,31";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQP900";"Électroencéphalographie avec modélisation de sources, sur au moins 32 dérivations";"Non pris en charge";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AALA002";"Implantation d’électrode subdurale pour enregistrement électrocorticographique, par craniotomie";"272,83";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"AALA002";"anesthésie";"178,05";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"AALB002";"Implantation d’électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique";"627,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ATM</regroupment>"
"AALB002";"anesthésie";"261,87";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"AAQP013";"Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures";"256,90";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQP003";"Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures";"70,80";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQP012";"Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures";"256,90";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AMQP009";"Évaluation diurne de la vigilance ou de l'endormissement par épreuves itératives";"106,44";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AMQP010";"Polysomnographie de 4 à 8 heures, sans enregistrement vidéo";"136,32";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AMQP011";"Polysomnographie de 4 à 8 heures, avec enregistrement vidéo";"136,32";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AMQP012";"Polysomnographie de 8 à 12 heures, sans enregistrement vidéo";"181,53";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AMQP013";"Polysomnographie de 8 à 12 heures, avec enregistrement vidéo";"181,53";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AMQP014";"Polysomnographie de 12 à 24 heures, sans enregistrement vidéo";"200,07";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AMQP015";"Polysomnographie de 12 à 24 heures, avec enregistrement vidéo";"200,07";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AJQP001";"Mesure des réponses cutanées sympathiques par électrode de surface";"";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"ABLB001";"Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques";"99,26";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"ABLB002";"Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne";"102,97";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"ABLB003";"Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne";"91,04";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"AFLB004";"Pose d'un cathéter intrathécal spinal par voie lombale transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques";"104,50";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"ABGA001";"Ablation d'un capteur de pression intracrânienne";"";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"ABQP001";"Surveillance continue de la pression intracrânienne, par 24 heures";"";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"AAQM002";"Échographie transfontanellaire de l'encéphale";"37,80";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADE</regroupment>"
"AEQM001";"Échographie transcutanée de la moelle épinière";"37,80";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADE</regroupment>"
"AEQH002";"Myélographie cervicale";"106,40";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"AEQH001";"Myélographie dorsale et/ou lombale";"106,40";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"AFQH003";"Myélographie avec scanographie de la colonne vertébrale [Myéloscanner]";"106,40";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADI</regroupment>"
"AFQH002";"Saccoradiculographie";"106,40";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"AFQH001";"Saccoradiculographie avec scanographie de la colonne vertébrale";"106,40";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADI</regroupment>"
"ACQK001";"Scanographie du crâne et de son contenu, sans injection de produit de contraste";"25,27";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQH003";"Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste";"25,27";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQH001";"Scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]";"25,27";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQK003";"Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique";"25,27";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQH002";"Scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste";"50,54";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQH004";"Scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste";"50,54";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQN001";"Remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste";"69,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQJ002";"Remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste";"69,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQN003";"Remnographie [IRM] du crâne et de son contenu pour procédure stéréotaxique";"69,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQN002";"Remnographie [IRM] du crâne et de son contenu et/ou du massif facial pour planification dosimétrique";"69,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQN004";"Remnographie [IRM] du crâne et de son contenu, avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion";"69,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQJ001";"Remnographie [IRM] du crâne et de son contenu avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicocéphaliques";"69,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"AAQN004";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions motrices";"69,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"AAQN900";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions visuelles";"Non pris en charge";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"AAQN901";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions phasiques";"Non pris en charge";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"AAQN902";"Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI]";"Non pris en charge";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"AAQN002";"Spectroscopie par résonance magnétique cérébrale protonique localisée";"Non pris en charge";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"AAQN903";"Spectroscopie par résonance magnétique cérébrale du phosphore";"Non pris en charge";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQL007";"Tomoscintigraphie de perfusion cérébrale sans test d'activation";"274,25";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQL005";"Tomoscintigraphie de perfusion cérébrale avec test d'activation et quantification complexe";"327,30";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQL008";"Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique";"274,25";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQL004";"Tomoscintigraphie de perfusion cérébrale en période critique";"274,25";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQL001";"Tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme";"268,87";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQL003";"Tomoscintigraphie cérébrale pour diagnostic et bilan de tumeur cérébrale";"268,87";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ACQL002";"Tomoscintigraphie cérébrale par émission de positons, avec tépographe [caméra TEP] dédié";"89,54";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ABQL002";"Cisternographie radio-isotopique";"279,63";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ABQL003";"Recherche radio-isotopique d'une brèche ostéoméningée";"138,15";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"ABML001";"Vérification radio-isotopique d'une dérivation du liquide cérébrospinal";"138,15";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ADI</regroupment>"
"BLQP001";"Enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux";"53,76";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"BLQP009";"Enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste";"60,16";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"CDQP017";"Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction et mesure des amplitudes";"57,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"CDQP006";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale";"96,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"CDQP014";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sous anesthésie générale";"96,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ATM</regroupment>"
"CDQP014";"anesthésie";"59,39";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"CDQP008";"Enregistrement des potentiels évoqués auditifs de moyennes et de longues latences avec mesure des amplitudes et latences des réponses";"96,00";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"CEQP008";"Enregistrement des potentiels évoqués vestibulaires d’origine sacculaire [potentiels évoqués otolithiques] [potentiels évoqués sacculocolliques] par électromyographie";"57,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"ANQP004";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale d'un ou de 2 nerfs des membres supérieurs ou inférieurs";"70,80";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"ANQP006";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale de 3 nerfs ou plus des membres supérieurs et inférieurs";"100,87";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
"ANQP002";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation des nerfs pudendaux [nerfs honteux]";"62,28";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>2</exemption><regroupment>ATM</regroupment>"
