"MP_ID";"MP_UUID";"MP_USER_UID";"MP_INSURANCE_UID";"NAME";"ABSTRACT";"TYPE";"AMOUNT";"REIMBOURSEMENT";"DATE"
"37";"{20ad1122-47e7-4171-8c0d-b12ebd0000ed}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB026";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort avec stimulodétection, par électrode aiguille";"CCAM";"86,40";"70.0";"2011-06-30"
"38";"{db5d806a-ac5b-4d03-866b-05234ae3de6c}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB013";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort, par électrode aiguille";"CCAM";"64,37";"70.0";"2011-06-30"
"39";"{2f27d9c9-9fba-4c7d-bba6-dc9e2121fbe1}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB032";"Électromyographie de 3 à 6 muscles striés au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs sans étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"CCAM";"121,96";"70.0";"2011-06-30"
"40";"{16569ed0-6da8-40a8-a690-12c29faedb17}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB033";"Électromyographie de 7 muscles striés ou plus au repos et à l'effort par électrode aiguille, avec mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus avec étude de la conduction proximale par électrode de surface, et mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";"CCAM";"134,49";"70.0";"2011-06-30"
"41";"{75e1459c-edb1-4b1d-8ee7-5253cdd392e6}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB015";"Électromyographie de fibre unique, par électrode aiguille";"CCAM";"102,95";"70.0";"2011-06-30"
"42";"{e5963d56-53d0-4632-8755-0388de50483b}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB006";"Macroélectromyographie, par électrode aiguille";"CCAM";"102,95";"70.0";"2011-06-30"
"43";"{77e4d6b4-48eb-4d0e-af83-3d4cb35e731f}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB001";"Électromyographie, au lit du malade";"CCAM";"61,86";"70.0";"2011-06-30"
"44";"{02275477-ef55-4358-b1f1-e80a579fa441}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP003";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, sans étude de la conduction proximale";"CCAM";"46,58";"70.0";"2011-06-30"
"45";"{644cf7eb-cb4b-4db1-8524-95f58422107d}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP008";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 2 à 4 nerfs, avec étude de la conduction proximale sur au moins 2 nerfs";"CCAM";"52,60";"70.0";"2011-06-30"
"46";"{d113d96b-d777-498a-ae93-b34c1b6ea7e1}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP010";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, sans étude de la conduction proximale";"CCAM";"53,60";"70.0";"2011-06-30"
"47";"{16031cda-7d70-44c2-bb8f-7127af6e13bc}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP009";"Mesure des vitesses de conduction motrice et de l'amplitude des réponses musculaires de 5 nerfs ou plus, avec étude de la conduction proximale sur au moins 4 nerfs";"CCAM";"59,11";"70.0";"2011-06-30"
"48";"{e374c22a-9e37-466d-876f-92bbfc8fde1d}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP011";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 2 à 4 nerfs";"CCAM";"49,59";"70.0";"2011-06-30"
"49";"{944fbdd9-7ebb-45d1-b96c-e92568950e65}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP012";"Mesure des vitesses de la conduction sensitive et de l'amplitude du potentiel sensitif de 5 nerfs ou plus";"CCAM";"56,11";"70.0";"2011-06-30"
"50";"{7651f96f-d857-437d-84ba-93b189d2ae44}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP013";"Mesure des vitesses de conduction sensitive du nerf dorsal du pénis";"CCAM";"39,07";"70.0";"2011-06-30"
"51";"{921a4c01-dd4f-4056-a871-f2209ef369cc}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQB019";"Mesure des latences des réflexes sacraux";"CCAM";"54,10";"70.0";"2011-06-30"
"52";"{72c27ab1-1d56-464f-afab-c4741416b470}";"{00000000-0000-0000-0000-000000000000}";"2";"AHRP001";"Épreuve de stimulation répétitive d'au moins 2 nerfs pour recherche de bloc de la jonction neuromusculaire";"CCAM";"67,13";"70.0";"2011-06-30"
"53";"{6e793d2c-ae0b-4fe1-b158-c1b403d1d412}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP900";"Mesure du réflexe nociceptif R III";"CCAM";"0.00";"70.0";"2011-06-30"
"54";"{6dec3a2b-ff78-407b-916f-31b7ae25a108}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP016";"Mesure des réflexes H et/ou T";"CCAM";"";"70.0";"2011-06-30"
"55";"{b48207f2-0092-4c18-becc-59690788e524}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQP007";"Électroencéphalographie sur au moins 8 dérivations, avec enregistrement d'une durée minimale de 20 minutes";"CCAM";"57,60";"70.0";"2011-06-30"
"56";"{a8a428d4-0fbb-4f86-b343-e51628dbff3e}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQP011";"Électroencéphalographie sur au moins 8 dérivations avec enregistrement d'une durée minimale de 20 minutes, au lit du malade";"CCAM";"73,30";"70.0";"2011-06-30"
"57";"{1b491bad-f343-4876-b788-beb2db6d19bb}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQP006";"Électroencéphalographie de longue durée de 1 à 4 heures sur au moins 8 dérivations, avec enregistrement vidéo";"CCAM";"105,37";"70.0";"2011-06-30"
"58";"{102e3c66-e1e2-4d15-9d51-0a9e14073112}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQP010";"Électroencéphalographie de longue durée de plus de 4 heures sur au moins 8 dérivations, avec enregistrement vidéo";"CCAM";"159,49";"70.0";"2011-06-30"
"59";"{85d1e875-8f3f-4482-843d-f17072d204da}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQP009";"Électroencéphalographie avec quantification, sur au moins 32 dérivations";"CCAM";"78,31";"70.0";"2011-06-30"
"60";"{3d8d6b5a-0c6d-4eab-99d7-8942c178fccc}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQP900";"Électroencéphalographie avec modélisation de sources, sur au moins 32 dérivations";"CCAM";"0.00";"70.0";"2011-06-30"
"61";"{033eef23-ec69-4bf5-909f-32f07b0c43d2}";"{00000000-0000-0000-0000-000000000000}";"2";"AALA002";"Implantation d’électrode subdurale pour enregistrement électrocorticographique, par craniotomie";"CCAM";"272,83";"70.0";"2011-06-30"
"62";"{f5b3a0e9-249d-45dc-af07-8ce64212d105}";"{00000000-0000-0000-0000-000000000000}";"2";"AALB002";"Implantation d’électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique";"CCAM";"627,00";"70.0";"2011-06-30"
"63";"{4e819951-2160-4643-8462-72e8677156c0}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQP013";"Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures";"CCAM";"256,90";"70.0";"2011-06-30"
"64";"{29e1d90c-be74-4026-a90a-08d86698449f}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQP003";"Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures";"CCAM";"70,80";"70.0";"2011-06-30"
"65";"{ceca5d57-4386-46f3-873f-df7d6851d80c}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQP012";"Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures";"CCAM";"256,90";"70.0";"2011-06-30"
"66";"{7708047c-68b2-472f-9020-34d1c0e6f347}";"{00000000-0000-0000-0000-000000000000}";"2";"AMQP009";"Évaluation diurne de la vigilance ou de l'endormissement par épreuves itératives";"CCAM";"106,44";"70.0";"2011-06-30"
"67";"{9718ae4f-5efc-4db6-83df-46c06e07596c}";"{00000000-0000-0000-0000-000000000000}";"2";"AMQP010";"Polysomnographie de 4 à 8 heures, sans enregistrement vidéo";"CCAM";"136,32";"70.0";"2011-06-30"
"68";"{a6451cb2-bcd8-4071-ac7c-05789fd362fa}";"{00000000-0000-0000-0000-000000000000}";"2";"AMQP011";"Polysomnographie de 4 à 8 heures, avec enregistrement vidéo";"CCAM";"136,32";"70.0";"2011-06-30"
"69";"{e68b0411-8ea3-45f3-a2fc-f5ab2bd95f5f}";"{00000000-0000-0000-0000-000000000000}";"2";"AMQP012";"Polysomnographie de 8 à 12 heures, sans enregistrement vidéo";"CCAM";"181,53";"70.0";"2011-06-30"
"70";"{2c970fe6-4b28-4d90-874c-905e16282cfd}";"{00000000-0000-0000-0000-000000000000}";"2";"AMQP013";"Polysomnographie de 8 à 12 heures, avec enregistrement vidéo";"CCAM";"181,53";"70.0";"2011-06-30"
"71";"{a81ed337-e01c-4768-8c4c-f8a8102b7b32}";"{00000000-0000-0000-0000-000000000000}";"2";"AMQP014";"Polysomnographie de 12 à 24 heures, sans enregistrement vidéo";"CCAM";"200,07";"70.0";"2011-06-30"
"72";"{2b2ad113-aaa1-4c24-aacf-f702f5c7c162}";"{00000000-0000-0000-0000-000000000000}";"2";"AMQP015";"Polysomnographie de 12 à 24 heures, avec enregistrement vidéo";"CCAM";"200,07";"70.0";"2011-06-30"
"73";"{f2d08519-73c7-457b-aa85-388b4d4440fe}";"{00000000-0000-0000-0000-000000000000}";"2";"AJQP001";"Mesure des réponses cutanées sympathiques par électrode de surface";"CCAM";"";"70.0";"2011-06-30"
"74";"{eefc5bf1-6d07-45af-9e29-2e4fcc75dc89}";"{00000000-0000-0000-0000-000000000000}";"2";"ABLB001";"Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques";"CCAM";"99,26";"70.0";"2011-06-30"
"75";"{89fb9bd0-4cc6-4fc7-a556-e012d3864b27}";"{00000000-0000-0000-0000-000000000000}";"2";"ABLB002";"Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne";"CCAM";"102,97";"70.0";"2011-06-30"
"76";"{711694f8-2ad8-4fb8-ab98-5419ee16fc1c}";"{00000000-0000-0000-0000-000000000000}";"2";"ABLB003";"Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne";"CCAM";"91,04";"70.0";"2011-06-30"
"77";"{dc5a8236-8cfa-41ef-a674-086c5437105e}";"{00000000-0000-0000-0000-000000000000}";"2";"AFLB004";"Pose d'un cathéter intrathécal spinal par voie lombale transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques";"CCAM";"104,50";"70.0";"2011-06-30"
"78";"{56838162-7357-4bdd-9b50-7b236b73a712}";"{00000000-0000-0000-0000-000000000000}";"2";"ABGA001";"Ablation d'un capteur de pression intracrânienne";"CCAM";"";"70.0";"2011-06-30"
"79";"{0526b3e3-4104-436e-9791-b8ae41b1489f}";"{00000000-0000-0000-0000-000000000000}";"2";"ABQP001";"Surveillance continue de la pression intracrânienne, par 24 heures";"CCAM";"";"70.0";"2011-06-30"
"80";"{707c0f29-d884-4794-b685-a19b145e7cad}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQM002";"Échographie transfontanellaire de l'encéphale";"CCAM";"37,80";"70.0";"2011-06-30"
"81";"{4b789931-7c45-47d4-a068-f7deca4a5633}";"{00000000-0000-0000-0000-000000000000}";"2";"AEQM001";"Échographie transcutanée de la moelle épinière";"CCAM";"37,80";"70.0";"2011-06-30"
"82";"{bbe83104-f320-4c9a-866b-f59b7ab4ff7b}";"{00000000-0000-0000-0000-000000000000}";"2";"AEQH002";"Myélographie cervicale";"CCAM";"106,40";"70.0";"2011-06-30"
"83";"{2257af38-5cdd-4eca-aaa4-daece150e1ae}";"{00000000-0000-0000-0000-000000000000}";"2";"AEQH001";"Myélographie dorsale et/ou lombale";"CCAM";"106,40";"70.0";"2011-06-30"
"84";"{e1eeda6d-56ad-4053-942e-642aee46bdd8}";"{00000000-0000-0000-0000-000000000000}";"2";"AFQH002";"Saccoradiculographie";"CCAM";"106,40";"70.0";"2011-06-30"
"85";"{28ba67d1-ebae-43ce-9e02-6734372389f2}";"{00000000-0000-0000-0000-000000000000}";"2";"AFQH001";"Saccoradiculographie avec scanographie de la colonne vertébrale";"CCAM";"106,40";"70.0";"2011-06-30"
"86";"{3785ff9d-956b-4478-a90e-2a3981e457ea}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQK001";"Scanographie du crâne et de son contenu, sans injection de produit de contraste";"CCAM";"25,27";"70.0";"2011-06-30"
"87";"{29d63596-3c59-4e68-a52e-c0fd3c08c4aa}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQH003";"Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste";"CCAM";"25,27";"70.0";"2011-06-30"
"88";"{3dd2958d-405b-467c-8d34-22a6046b4923}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQK003";"Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique";"CCAM";"25,27";"70.0";"2011-06-30"
"89";"{9caf93e0-6d3f-4223-a8e2-f8fc215d2f50}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQH002";"Scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste";"CCAM";"50,54";"70.0";"2011-06-30"
"90";"{21e88df6-f73e-4fe6-8adc-863b08a732c2}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQH004";"Scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste";"CCAM";"50,54";"70.0";"2011-06-30"
"91";"{2439eac6-8b80-4eb4-91cc-02d2d8713fa7}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQN002";"Spectroscopie par résonance magnétique cérébrale protonique localisée";"CCAM";"0.00";"70.0";"2011-06-30"
"92";"{3cdae351-4096-4668-a83a-51afde6bab51}";"{00000000-0000-0000-0000-000000000000}";"2";"AAQN903";"Spectroscopie par résonance magnétique cérébrale du phosphore";"CCAM";"0.00";"70.0";"2011-06-30"
"93";"{8fa7b324-a6ff-4f86-88a5-1e891199afc0}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQL007";"Tomoscintigraphie de perfusion cérébrale sans test d'activation";"CCAM";"274,25";"70.0";"2011-06-30"
"94";"{139b80d7-b9a3-4b76-b27c-9923978f2228}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQL005";"Tomoscintigraphie de perfusion cérébrale avec test d'activation et quantification complexe";"CCAM";"327,30";"70.0";"2011-06-30"
"95";"{da0a6690-de5b-4c4b-b51e-2c1a3f2ce2f8}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQL008";"Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique";"CCAM";"274,25";"70.0";"2011-06-30"
"96";"{d74b6281-ee67-4cbf-aed8-76a604e34de8}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQL004";"Tomoscintigraphie de perfusion cérébrale en période critique";"CCAM";"274,25";"70.0";"2011-06-30"
"97";"{aa526f65-3af6-486d-84ee-49e9907f9078}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQL001";"Tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme";"CCAM";"268,87";"70.0";"2011-06-30"
"98";"{64fa7507-79a1-43a8-a88a-efb1b741aa80}";"{00000000-0000-0000-0000-000000000000}";"2";"ACQL003";"Tomoscintigraphie cérébrale pour diagnostic et bilan de tumeur cérébrale";"CCAM";"268,87";"70.0";"2011-06-30"
"99";"{d3bf48bc-d4f0-438a-9bc8-8546f7dd3ab4}";"{00000000-0000-0000-0000-000000000000}";"2";"ABQL002";"Cisternographie radio-isotopique";"CCAM";"279,63";"70.0";"2011-06-30"
"100";"{45c7b1e4-e8d4-45eb-a7b8-082cff79bb2b}";"{00000000-0000-0000-0000-000000000000}";"2";"ABQL003";"Recherche radio-isotopique d'une brèche ostéoméningée";"CCAM";"138,15";"70.0";"2011-06-30"
"101";"{d52f666c-c72c-494b-a462-0c6e25a568ec}";"{00000000-0000-0000-0000-000000000000}";"2";"ABML001";"Vérification radio-isotopique d'une dérivation du liquide cérébrospinal";"CCAM";"138,15";"70.0";"2011-06-30"
"102";"{2ea10b4f-d841-44fc-b5a4-e666ee602c70}";"{00000000-0000-0000-0000-000000000000}";"2";"BLQP001";"Enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux";"CCAM";"53,76";"70.0";"2011-06-30"
"103";"{d9c03911-1b49-411e-896b-c9078a21b8ad}";"{00000000-0000-0000-0000-000000000000}";"2";"BLQP009";"Enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste";"CCAM";"60,16";"70.0";"2011-06-30"
"104";"{00b37443-dae7-4e64-9b7b-8ca056ca7ea0}";"{00000000-0000-0000-0000-000000000000}";"2";"CDQP017";"Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction et mesure des amplitudes";"CCAM";"57,60";"70.0";"2011-06-30"
"105";"{389e3602-e5a9-4e96-b295-d7a758aeae50}";"{00000000-0000-0000-0000-000000000000}";"2";"CDQP006";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale";"CCAM";"96,00";"70.0";"2011-06-30"
"106";"{c91ae077-7a89-4bd4-a16f-1c83c68c3bdb}";"{00000000-0000-0000-0000-000000000000}";"2";"CDQP014";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sous anesthésie générale";"CCAM";"96,00";"70.0";"2011-06-30"
"107";"{74b4d358-416d-4152-889f-504e8099e8f9}";"{00000000-0000-0000-0000-000000000000}";"2";"CDQP008";"Enregistrement des potentiels évoqués auditifs de moyennes et de longues latences avec mesure des amplitudes et latences des réponses";"CCAM";"96,00";"70.0";"2011-06-30"
"108";"{40b24865-57a7-42c3-91b7-87a49179020b}";"{00000000-0000-0000-0000-000000000000}";"2";"ANQP004";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale d'un ou de 2 nerfs des membres supérieurs ou inférieurs";"CCAM";"70,80";"70.0";"2011-06-30"
"109";"{bd2e7fec-3c76-44e3-b433-4d67b13fd919}";"{00000000-0000-0000-0000-000000000000}";"2";"ANQP006";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale de 3 nerfs ou plus des membres supérieurs et inférieurs";"CCAM";"100,87";"70.0";"2011-06-30"
"110";"{4cc39d46-f983-44df-b381-fe86c6645a66}";"{00000000-0000-0000-0000-000000000000}";"2";"AHQP004";"Enregistrement des potentiels moteurs par stimulation corticale et/ou spinale";"CCAM";"66,79";"70.0";"2011-06-30"
"111";"{6d04b758-f364-40c3-9f07-b5ca5fe43a6d}";"{00000000-0000-0000-0000-000000000000}";"2";"ALQP001";"Enregistrement des potentiels évoqués cognitifs événementiels";"CCAM";"0.00";"70.0";"2011-06-30"
