"";"Électromyographie par électrode de surface, sans enregistrement vidéo";"Non pris en charge"
"";"Mesure des vitesses de conduction sensitive du nerf dorsal du pénis";"39,07"
"";"Mesure du réflexe trigéminopalpébral [réflexe de clignement] et/ou du réflexe massétérin";"43,58"
"";"Mesure des latences des réflexes sacraux";"54,10"
"";"Mesure des latences distales du nerf pudendal [nerf honteux], par stimulation intrarectale";"61,12"
"";"Épreuve de stimulation répétitive d'au moins 2 nerfs pour recherche de bloc de la jonction neuromusculaire";"67,13"
"";"Mesure du réflexe nociceptif R III";"Non pris en charge"
"";"Mesure des réflexes H et/ou T";""
"";"Électroencéphalographie sur au moins 8 dérivations, avec enregistrement d'une durée minimale de 20 minutes";"57,60"
"";"Électroencéphalographie sur au moins 8 dérivations avec enregistrement d'une durée minimale de 20 minutes, au lit du malade";"73,30"
"";"Électroencéphalographie de longue durée de 1 à 4 heures sur au moins 8 dérivations, avec enregistrement vidéo";"105,37"
"";"Électroencéphalographie de longue durée de plus de 4 heures sur au moins 8 dérivations, avec enregistrement vidéo";"159,49"
"";"Électroencéphalographie continue ambulatoire sur au moins 8 dérivations, pendant au moins 24 heures [Holter EEG]";"145,97"
"";"Électroencéphalographie avec quantification, sur au moins 32 dérivations";"78,31"
"";"Électroencéphalographie avec modélisation de sources, sur au moins 32 dérivations";"Non pris en charge"
"";"Implantation d’électrode subdurale pour enregistrement électrocorticographique, par craniotomie";"272,83"
"";"anesthésie";"178,05"
"";"Implantation d’électrode intracérébrale pour enregistrement électroencéphalographique, par voie stéréotaxique";"627,00"
"";"anesthésie";"261,87"
"";"Surveillance électrocorticographique continue avec enregistrement vidéo, par 24 heures";"256,90"
"";"Surveillance électroencéphalographique continue sans enregistrement vidéo, par 24 heures";"70,80"
"";"Surveillance électroencéphalographique continue avec enregistrement vidéo, par 24 heures";"256,90"
"";"Évaluation diurne de la vigilance ou de l'endormissement par épreuves itératives";"106,44"
"";"Polysomnographie de 4 à 8 heures, sans enregistrement vidéo";"136,32"
"";"Polysomnographie de 4 à 8 heures, avec enregistrement vidéo";"136,32"
"";"Polysomnographie de 8 à 12 heures, sans enregistrement vidéo";"181,53"
"";"Polysomnographie de 8 à 12 heures, avec enregistrement vidéo";"181,53"
"";"Polysomnographie de 12 à 24 heures, sans enregistrement vidéo";"200,07"
"";"Polysomnographie de 12 à 24 heures, avec enregistrement vidéo";"200,07"
"";"Mesure des réponses cutanées sympathiques par électrode de surface";""
"";"Pose d'un cathéter ventriculaire cérébral par voie transcrânienne, avec mesure instantanée de la pression intracrânienne et tests dynamiques";"99,26"
"";"Pose d'un capteur ventriculaire de pression intracrânienne, par voie transcrânienne";"102,97"
"";"Pose d'un capteur extraventriculaire de pression intracrânienne, par voie transcrânienne";"91,04"
"";"Pose d'un cathéter intrathécal spinal par voie lombale transcutanée, avec mesure instantanée de la pression du liquide cérébrospinal et tests dynamiques";"104,50"
"";"Ablation d'un capteur de pression intracrânienne";""
"";"Surveillance continue de la pression intracrânienne, par 24 heures";""
"";"Échographie transfontanellaire de l'encéphale";"37,80"
"";"Échographie transcutanée de la moelle épinière";"37,80"
"";"Myélographie cervicale";"106,40"
"";"Myélographie dorsale et/ou lombale";"106,40"
"";"Myélographie avec scanographie de la colonne vertébrale [Myéloscanner]";"106,40"
"";"Saccoradiculographie";"106,40"
"";"Saccoradiculographie avec scanographie de la colonne vertébrale";"106,40"
"";"Scanographie du crâne et de son contenu, sans injection de produit de contraste";"25,27"
"";"Scanographie du crâne et de son contenu, avec injection intraveineuse de produit de contraste";"25,27"
"";"Scanographie du crâne et de son contenu, avec injection intrathécale de produit de contraste [Cysternoscanner]";"25,27"
"";"Scanographie du crâne et de son contenu et/ou du massif facial pour repérage stéréotaxique";"25,27"
"";"Scanographie du crâne, de son contenu et du thorax, avec injection intraveineuse de produit de contraste";"50,54"
"";"Scanographie du crâne, de son contenu et du tronc, avec injection intraveineuse de produit de contraste";"50,54"
"";"Remnographie [IRM] du crâne et de son contenu, sans injection intraveineuse de produit de contraste";"69,00"
"";"Remnographie [IRM] du crâne et de son contenu, avec injection intraveineuse de produit de contraste";"69,00"
"";"Remnographie [IRM] du crâne et de son contenu pour procédure stéréotaxique";"69,00"
"";"Remnographie [IRM] du crâne et de son contenu et/ou du massif facial pour planification dosimétrique";"69,00"
"";"Remnographie [IRM] du crâne et de son contenu, avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion";"69,00"
"";"Remnographie [IRM] du crâne et de son contenu avec étude de la viabilité du parenchyme cérébral par imagerie de diffusion et de perfusion, avec remnographie des vaisseaux [angio-IRM] cervicocéphaliques";"69,00"
"";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions motrices";"69,00"
"";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions visuelles";"Non pris en charge"
"";"Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions phasiques";"Non pris en charge"
"";"Spectroscopie par résonance magnétique cérébrale protonique [Chemical shift imaging] [CSI]";"Non pris en charge"
"";"Spectroscopie par résonance magnétique cérébrale protonique localisée";"Non pris en charge"
"";"Spectroscopie par résonance magnétique cérébrale du phosphore";"Non pris en charge"
"";"Tomoscintigraphie de perfusion cérébrale sans test d'activation";"274,25"
"";"Tomoscintigraphie de perfusion cérébrale avec test d'activation et quantification complexe";"327,30"
"";"Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique";"274,25"
"";"Tomoscintigraphie de perfusion cérébrale en période critique";"274,25"
"";"Tomoscintigraphie cérébrale à l'aide de marqueur de la neurotransmission et/ou du métabolisme";"268,87"
"";"Tomoscintigraphie cérébrale pour diagnostic et bilan de tumeur cérébrale";"268,87"
"";"Tomoscintigraphie cérébrale par émission de positons, avec tépographe [caméra TEP] dédié";"89,54"
"";"Cisternographie radio-isotopique";"279,63"
"";"Recherche radio-isotopique d'une brèche ostéoméningée";"138,15"
"";"Vérification radio-isotopique d'une dérivation du liquide cérébrospinal";"138,15"
"";"Enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux";"53,76"
"";"Enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste";"60,16"
"";"Enregistrement des potentiels évoqués auditifs précoces pour étude des temps de conduction et mesure des amplitudes";"57,60"
"";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sans anesthésie générale";"96,00"
"";"Enregistrement des potentiels évoqués auditifs précoces pour recherche de seuil, étude des temps de conduction et mesure des amplitudes, sous anesthésie générale";"96,00"
"";"anesthésie";"59,39"
"";"Enregistrement des potentiels évoqués auditifs de moyennes et de longues latences avec mesure des amplitudes et latences des réponses";"96,00"
"";"Enregistrement des potentiels évoqués vestibulaires d’origine sacculaire [potentiels évoqués otolithiques] [potentiels évoqués sacculocolliques] par électromyographie";"57,60"
"";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale d'un ou de 2 nerfs des membres supérieurs ou inférieurs";"70,80"
"";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation bilatérale de 3 nerfs ou plus des membres supérieurs et inférieurs";"100,87"
"";"Enregistrement des potentiels évoqués somesthésiques cérébraux par stimulation des nerfs pudendaux [nerfs honteux]";"62,28"
"";"Enregistrement des potentiels moteurs par stimulation corticale et/ou spinale";"66,79"
"";"Enregistrement des potentiels évoqués cognitifs événementiels";"Non pris en charge"
"";"Enregistrement des potentiels évoqués nociceptifs avec mesure des amplitudes et des latences des réponses corticales, par stimulation au laser";"Non pris en charge"
"";"Enregistrement de potentiels évoqués, au lit du malade";"78,21"
"";"Exploration intracrânienne, par vidéochirurgie";"Non pris en charge"
"";"anesthésie";""
"";"Ponction de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire";"34,71"
"";"Ponction de liquide cérébrospinal ventriculaire, par voie transcrânienne";"86,13"
"";"Ponction de liquide cérébrospinal, par voie infraoccipitale ou latérocervicale transcutanée [Ponction sousoccipitale]";"43,53"
"";"Ponction de liquide cérébrospinal, par voie lombale transcutanée [Ponction lombaire]";"26,50"
"";"Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage scanographique";"104,50"
"";"Ponction ou cytoponction de lésion intracrânienne, par voie transcutanée avec guidage remnographique [IRM]";"104,50"
"";"Biopsie de lésion intracrânienne, par voie transcrânienne stéréotaxique";"522,50"
"";"anesthésie";"229,90"
"";"Biopsie de lésion intracrânienne, par craniotomie";"204,28"
"";"anesthésie";"127,93"
"";"Biopsie de lésion de la base du crâne, par endoscopie buccale ou nasale";"220,73"
"";"anesthésie";"138,55"
"";"Biopsie de lésion de la base du crâne, par abord transoral ou nasosphénoïdal";"284,47"
"";"anesthésie";"198,68"
"";"Biopsie de nerf périphérique, par voie transcutanée";"44,61"
"";"Biopsie de nerf périphérique, par abord direct";"47,58"
"";"Biopsie neuromusculaire, par abord direct";"55,80"
"";"Injection péridurale [épidurale] d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique";"62,31"
"";"Injection intrathécale d'agent pharmacologique à visée antalgique, avec évaluation diagnostique et pronostique";"57,60"
"";"Infiltration anesthésique du ganglion trigéminal avec évaluation diagnostique et pronostique, avec guidage radiologique";"38,40"
"";"Infiltration anesthésique d'une branche de division du nerf trijumeau avec évaluation diagnostique et pronostique, avec guidage radiologique";"9,60"
"";"Infiltration anesthésique du nerf glossopharyngien avec évaluation diagnostique et pronostique, avec guidage radiologique";"9,60"
"";"Infiltration anesthésique de nerf spinal à son émergence rachidienne avec évaluation diagnostique et pronostique, avec guidage radiologique";"19,20"
"";"Infiltration anesthésique de branche dorsale de nerf spinal avec évaluation diagnostique et pronostique, avec guidage radiologique";"19,20"
"";"Infiltration anesthésique unilatérale ou bilatérale du nerf grand occipital [d'Arnold] avec évaluation diagnostique et pronostique, avec guidage radiologique";"19,20"
"";"Infiltration anesthésique du plexus brachial, avec évaluation diagnostique et pronostique";"39,96"
"";"Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage radiologique";"19,20"
"";"Infiltration anesthésique du plexus lombosacral avec évaluation diagnostique et pronostique, avec guidage scanographique";"19,20"
"";"Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, sans stimulodétection électrique";"23,09"
"";"Infiltration anesthésique de tronc nerveux superficiel avec évaluation diagnostique et pronostique, avec stimulodétection électrique";"31,16"
"";"Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, sans guidage";"43,26"
"";"Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage radiologique";"19,20"
"";"Infiltration anesthésique de tronc nerveux profond avec évaluation diagnostique et pronostique, avec guidage scanographique";"19,20"
"";"Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage radiologique";"19,20"
"";"Infiltration anesthésique du ganglion ptérygopalatin avec évaluation diagnostique et pronostique, avec guidage scanographique";"19,20"
"";"Infiltration anesthésique du ganglion cervicothoracique [stellaire], avec évaluation diagnostique et pronostique";"39,96"
"";"Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage radiologique";"28,80"
"";"Infiltration anesthésique de la chaîne sympathique thoracique avec évaluation diagnostique et pronostique, avec guidage scanographique";"28,80"
"";"Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage échographique";"28,80"
"";"Infiltration anesthésique des nerfs splanchniques avec évaluation diagnostique et pronostique, avec guidage radiologique";"28,80"
"";"Infiltration anesthésique du plexus cœliaque avec évaluation diagnostique et pronostique, avec guidage échographique";"57,60"
"";"Infiltration anesthésique du plexus cœliaque avec évaluation diagnostique et pronostique, avec guidage radiologique";"57,60"
"";"Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage radiologique";"57,60"
"";"Infiltration anesthésique de la chaîne sympathique lombale avec évaluation diagnostique et pronostique, avec guidage scanographique";"57,60"
"";"Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage radiologique";"28,80"
"";"Infiltration anesthésique du plexus hypogastrique ou sacral avec évaluation diagnostique et pronostique, avec guidage scanographique";"28,80"
"";"Test d'évaluation d'un déficit cognitif";"69,12"
"";"Test d'évaluation de l'efficience intellectuelle de l'enfant";"69,12"
"";"Test d'évaluation de l'efficience intellectuelle de l'adulte";"69,12"
"";"Test d'évaluation d'une dépression";"69,12"
"";"Test d'évaluation des aspects psychopathologiques de la personnalité";"69,12"
"";"Test d'évaluation et de catégorisation des déficiences, incapacités et désavantages sociaux";"Non pris en charge"
"";"Test d'évaluation de la qualité de vie";"Non pris en charge"
"";"Actimétrie de longue durée";"Non pris en charge"
"";"Destruction d'une cible intracérébrale à visée fonctionnelle, par voie stéréotaxique";"695,53"
"";"anesthésie";"265,91"
"";"Déconnexion d'une zone épileptogène, par craniotomie";"Non pris en charge"
"";"anesthésie";""
"";"Excision d'une zone épileptogène, par craniotomie";"524,28"
"";"anesthésie";"360,12"
"";"Hémisphérectomie fonctionnelle, par craniotomie";"850,16"
"";"anesthésie";"435,22"
"";"Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie";"655,65"
"";"anesthésie";"379,85"
"";"Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie";"525,51"
"";"anesthésie";"335,19"
"";"Résection de parenchyme cérébral pour infarctus expansif, par craniotomie";"418,00"
"";"anesthésie";"301,47"
"";"Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique";"167,20"
"";"anesthésie";"126,46"
"";"Évacuation de collection intracérébrale, par voie transcrânienne avec guidage scanographique";"167,20"
"";"anesthésie";"126,46"
"";"Évacuation de collection intracérébrale, par craniotomie";"408,82"
"";"anesthésie";"230,76"
"";"Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente";"215,80"
"";"anesthésie";"97,51"
"";"Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique";"250,80"
"";"anesthésie";"231,55"
"";"Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique";"250,80"
"";"anesthésie";"231,55"
"";"Évacuation d'hématome intracérébral non traumatique, par craniotomie";"269,82"
"";"anesthésie";"286,84"
"";"Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie";"282,57"
"";"anesthésie";"275,90"
"";"Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie";"594,89"
"";"anesthésie";"520,24"
"";"Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie";"418,00"
"";"anesthésie";"378,45"
"";"Exérèse de lésion du tronc cérébral, par craniotomie";"813,14"
"";"anesthésie";"498,98"
"";"Évacuation d'hématome intracérébelleux, par craniotomie";"418,00"
"";"anesthésie";"357,92"
"";"Parage de plaie craniocérébrale";"383,33"
"";"anesthésie";"241,45"
"";"Évacuation de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire";"34,71"
"";"Évacuation de liquide cérébrospinal ventriculaire avec injection à visée thérapeutique, par voie transcrânienne";"91,47"
"";"anesthésie";"86,88"
"";"Pose d'un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne, avec pose d'un système diffuseur ou d'une pompe implantable souscutané";"125,99"
"";"anesthésie";"120,96"
"";"Ablation d'un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral";"55,39"
"";"Séance d'administration intraventriculaire ou intrakystique cérébrale d'agent pharmacologique anticancéreux, par un dispositif implanté";""
"";"Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne";"119,42"
"";"anesthésie";"99,34"
"";"Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct";"257,08"
"";"anesthésie";"140,64"
"";"Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct";"257,08"
"";"anesthésie";"142,11"
"";"Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct";"260,78"
"";"anesthésie";"135,88"
"";"Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne";"344,27"
"";"anesthésie";"166,30"
"";"Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie";"376,35"
"";"anesthésie";"189,03"
"";"Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par craniotomie";"239,93"
"";"anesthésie";"104,50"
"";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par endoscopie";"418,00"
"";"anesthésie";"229,90"
"";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord paralatéronasal";"518,55"
"";"anesthésie";"254,54"
"";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord nasosphénoïdal";"439,95"
"";"anesthésie";"229,90"
"";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord orbitaire";"470,32"
"";"anesthésie";"229,90"
"";"Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie";"475,75"
"";"anesthésie";"267,01"
"";"Fermeture d'une brèche ostéodurale du sinus frontal, par abord coronal";"501,58"
"";"anesthésie";"229,90"
"";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie";"418,59"
"";"anesthésie";"259,68"
"";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique";"517,66"
"";"anesthésie";"276,18"
"";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord suprapétreux";"517,66"
"";"anesthésie";"276,18"
"";"Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical";"418,00"
"";"anesthésie";"229,90"
"";"Fermeture d'une fistule postopératoire de liquide cérébrospinal de la base du crâne";"418,00"
"";"anesthésie";"229,90"
"";"Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire de la voûte crânienne, par craniotomie";"418,00"
"";"anesthésie";"229,90"
"";"Exérèse d'une fistule dermique avec prolongement intradural occipital";"244,87"
"";"anesthésie";"169,42"
"";"Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne";"282,29"
"";"anesthésie";"171,11"
"";"Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire";"445,95"
"";"anesthésie";"225,72"
"";"Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire";"666,55"
"";"anesthésie";"302,99"
"";"Évacuation d'un hématome extradural supratentoriel, par craniotomie";"313,50"
"";"anesthésie";"201,86"
"";"Évacuation d'un hématome extradural infratentoriel, par craniotomie";"313,50"
"";"anesthésie";"201,86"
"";"Évacuation d'un hématome extradural plurifocal supratentoriel et/ou infratentoriel, par craniotomie";"320,01"
"";"anesthésie";"230,08"
"";"Évacuation d'un hématome subdural aigu, par craniotomie";"250,80"
"";"anesthésie";"173,26"
"";"Évacuation d'un hématome subdural chronique unilatéral, par craniotomie";"182,90"
"";"anesthésie";"138,49"
"";"Évacuation d'un hématome subdural chronique bilatéral, par craniotomie";"250,80"
"";"anesthésie";"156,78"
"";"Évacuation d'un empyème intracrânien extracérébral, par craniotomie";"235,41"
"";"anesthésie";"188,33"
"";"Évacuation d'une hémorragie intraventriculaire cérébrale non traumatique, par vidéochirurgie";"Non pris en charge"
"";"anesthésie";""
"";"Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie";"259,96"
"";"anesthésie";"273,64"
"";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale";"668,80"
"";"anesthésie";"341,39"
"";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale";"720,20"
"";"anesthésie";"348,35"
"";"Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale et abord ethmoïdal";"838,63"
"";"anesthésie";"355,31"
"";"Exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie";"870,30"
"";"anesthésie";"441,05"
"";"Exérèse de tumeur de l'étage moyen de la base du crâne, par craniotomie";"672,91"
"";"anesthésie";"352,74"
"";"Exérèse de tumeur du tiers interne de l'étage moyen de la base du crâne intéressant l'angle sphénoorbitaire, par craniotomie";"946,37"
"";"anesthésie";"369,61"
"";"Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial, par abord transpétreux";"605,64"
"";"anesthésie";"245,02"
"";"Exérèse de tumeur de la pointe du rocher avec déroutement du nerf facial, par abord transpétreux";"723,54"
"";"anesthésie";"258,58"
"";"Exérèse de tumeur de la pointe du rocher, par abord translabyrinthique";"715,05"
"";"anesthésie";"258,58"
"";"Exérèse de tumeur de la pointe du rocher, par abord suprapétreux";"734,26"
"";"anesthésie";"250,15"
"";"Exérèse de tumeur de la région pétroclivale sans déroutement du nerf facial, par abord transpétreux";"1055,54"
"";"anesthésie";"445,81"
"";"Exérèse de tumeur de la région pétroclivale avec déroutement du nerf facial, par abord transpétreux";"1238,54"
"";"anesthésie";"529,75"
"";"Exérèse de tumeur du clivus, par craniotomie";"1023,46"
"";"anesthésie";"431,15"
"";"Exérèse de tumeur du clivus, par abord transoral ou nasosphénoïdal";"897,64"
"";"anesthésie";"396,69"
"";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord suprapétreux";"940,50"
"";"anesthésie";"454,55"
"";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord translabyrinthique";"1123,87"
"";"anesthésie";"395,17"
"";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord rétrolabyrinthique présigmoïdien";"1107,79"
"";"anesthésie";"471,78"
"";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord infraoccipital rétrosigmoïdien";"1107,79"
"";"anesthésie";"515,77"
"";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord transotique";"1189,96"
"";"anesthésie";"540,32"
"";"Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par deux abords";"1205,14"
"";"anesthésie";"563,79"
"";"Exérèse de tumeur du foramen magnum sans déroutement de l'artère vertébrale, par craniotomie";"732,54"
"";"anesthésie";"383,90"
"";"Exérèse de tumeur du foramen magnum avec déroutement de l'artère vertébrale, par craniotomie";"837,40"
"";"anesthésie";"418,00"
"";"Exérèse de tumeur du foramen jugulaire, par craniotomie";"867,42"
"";"anesthésie";"443,29"
"";"Exérèse de tumeur extraparenchymateuse de la convexité du cerveau sans atteinte de sinus veineux dural, par craniotomie";"535,79"
"";"anesthésie";"376,94"
"";"Exérèse de tumeur extraparenchymateuse de la convexité du cerveau envahissant un sinus veineux dural, par craniotomie";"624,20"
"";"anesthésie";"386,84"
"";"Exérèse de tumeur extraparenchymateuse de la convexité du cervelet sans atteinte de sinus veineux dural, par craniotomie";"550,89"
"";"anesthésie";"395,61"
"";"Exérèse de tumeur extraparenchymateuse de la convexité du cervelet envahissant un sinus veineux dural, par craniotomie";"661,10"
"";"anesthésie";"445,10"
"";"Exérèse de tumeur de la faux du cerveau, par craniotomie";"684,02"
"";"anesthésie";"355,66"
"";"Exérèse de tumeur de la tente du cervelet, par craniotomie soustentorielle";"723,09"
"";"anesthésie";"385,37"
"";"Exérèse de tumeur de l'incisure de la tente, par craniotomie sustentorielle";"935,06"
"";"anesthésie";"375,80"
"";"Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne";"627,00"
"";"anesthésie";"337,33"
"";"Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie";"733,77"
"";"anesthésie";"378,39"
"";"Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne";"641,25"
"";"anesthésie";"358,59"
"";"Exérèse de lésion du troisième ventricule, par craniotomie";"843,57"
"";"anesthésie";"382,78"
"";"Exérèse de lésion du quatrième ventricule, par craniotomie";"732,65"
"";"anesthésie";"435,21"
"";"Destruction sélective de la corne postérieure de la moelle épinière ou de la jonction radicellospinale, par abord postérieur";"550,59"
"";"anesthésie";"208,82"
"";"Cordotomie spinale, par voie transcutanée";"366,07"
"";"anesthésie";"152,39"
"";"Myélotomie, commissurotomie ou cordotomie spinale, par abord postérieur";"434,33"
"";"anesthésie";"171,82"
"";"Radicotomie spinale, par abord postérieur";"355,79"
"";"anesthésie";"160,83"
"";"Libération de moelle attachée, par abord postérieur";"445,84"
"";"anesthésie";"181,71"
"";"Exérèse de lésion de la moelle épinière sur un étage vertébral, par abord postérieur";"688,54"
"";"anesthésie";"287,50"
"";"Exérèse de lésion de la moelle épinière sur plusieurs étages vertébraux, par abord postérieur";"1001,97"
"";"anesthésie";"397,06"
"";"Exérèse de lésion du cône médullaire, par abord postérieur";"691,01"
"";"anesthésie";"287,50"
"";"Exérèse de lésion de la queue de cheval sur un étage vertébral, par abord postérieur";"566,35"
"";"anesthésie";"243,60"
"";"Exérèse de lésion de la queue de cheval étendue sur plusieurs étages vertébraux [lésion géante de la queue de cheval], par abord postérieur";"836,00"
"";"anesthésie";"329,28"
"";"Exérèse de lipome de la queue de cheval avec fermeture de méningocèle ou de myéloméningocèle, par abord postérieur";"669,59"
"";"anesthésie";"324,15"
