"A"	"ALIMENTARY TRACT AND METABOLISM"	"VOIES DIGESTIVES ET METABOLISME"
"A01AC01"	"TRIAMCINOLONE"	"TRIAMCINOLONE"
"A01AC02"	"DEXAMETHASONE"	"DEXAMETHASONE"
"A01AC03"	"HYDROCORTISONE"	"HYDROCORTISONE"
"A01AC54"	"PREDNISOLONE, COMBINATIONS"	"PREDNISOLONE EN ASSOCIATION"
"A03C"	"ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS"	"ANTISPASMODIQUES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES"
"A03CA"	"SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH PSYCHOLEPTICS"	"ANTICHOLINERGIQUES DE SYNTHESE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES"
"A03CA01"	"ISOPROPAMIDE AND PSYCHOLEPTICS"	"ISOPROPAMIDE ET PSYCHOLEPTIQUES"
"A03CA02"	"CLIDINIUM AND PSYCHOLEPTICS"	"CLIDINIUM ET PSYCHOLEPTIQUES"
"A03CA03"	"OXYPHENCYCLIMINE AND PSYCHOLEPTICS"	"OXYPHENCYCLIMINE ET PSYCHOLEPTIQUES"
"A03CA04"	"OTILONIUM BROMIDE AND PSYCHOLEPTICS"	"OTILONIUM BROMURE ET PSYCHOLEPTIQUES"
"A03CA05"	"GLYCOPYRRONIUM AND PSYCHOLEPTICS"	"GLYCOPYRRONIUM ET PSYCHOLEPTIQUES"
"A03CA06"	"BEVONIUM AND PSYCHOLEPTICS"	"BEVONIUM ET PSYCHOLEPTIQUES"
"A03CA07"	"AMBUTONIUM AND PSYCHOLEPTICS"	"AMBUTONIUM ET PSYCHOLEPTIQUES"
"A03CA08"	"DIPHEMANIL AND PSYCHOLEPTICS"	"DIPHEMANIL ET PSYCHOLEPTIQUES"
"A03CA30"	"EMEPRONIUM AND PSYCHOLEPTICS"	"EMEPRONIUM ET PSYCHOLEPTIQUES"
"A03CA34"	"PROPANTHELINE AND PSYCHOLEPTICS"	"PROPANTHELINE ET PSYCHOLEPTIQUES"
"A03CB"	"BELLADONNA AND DERIVATIVES IN COMBINATION WITH PSYCHOLEPTICS"	"BELLADONE ET DERIVES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES"
"A03CB01"	"METHYLSCOPOLAMINE AND PSYCHOLEPTICS"	"METHYLSCOPOLAMINE ET PSYCHOLEPTIQUES"
"A03CB02"	"BELLADONNA TOTAL ALKALOIDS AND PSYCHOLEPTICS"	"ALCALOÏDES TOTAUX DE LA BELLADONE ET PSYCHOLEPTIQUES"
"A03CB03"	"ATROPINE AND PSYCHOLEPTICS"	"ATROPINE ET PSYCHOLEPTIQUES"
"A03CB04"	"METHYLHOMATROPINE AND PSYCHOLEPTICS"	"METHYLHOMATROPINE ET PSYCHOLEPTIQUES"
"A03CB31"	"HYOSCYAMINE AND PSYCHOLEPTICS"	"HYOSCYAMINE ET PSYCHOLEPTIQUES"
"A03CC"	"OTHER ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS"	"AUTRES ANTISPASMODIQUES EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES"
"A03D"	"ANTISPASMODICS IN COMBINATION WITH ANALGESICS"	"ANTISPASMODIQUES EN ASSOCIATION AVEC DES ANALGESIQUES"
"A03DA"	"SYNTHETIC ANTICHOLINERGIC AGENTS IN COMBINATION WITH ANALGESICS"	"ANTICHOLINERGIQUES DE SYNTHESE EN ASSOCIATION AVEC DES ANALGESIQUES"
"A03DA01"	"TROPENZILONE AND ANALGESICS"	"TROPENZILONE ET ANALGESIQUES"
"A03DA02"	"PITOFENONE AND ANALGESICS"	"PITOFENONE ET ANALGESIQUES"
"A03DA03"	"BEVONIUM AND ANALGESICS"	"BEVONIUM ET ANALGESIQUES"
"A03DA04"	"CICLONIUM AND ANALGESICS"	"CICLONIUM ET ANALGESIQUES"
"A03DA05"	"CAMYLOFIN AND ANALGESICS"	"CAMYLOFINE ET ANALGESIQUES"
"A03DA06"	"TROSPIUM AND ANALGESICS"	"TROSPIUM ET ANALGESIQUES"
"A03DA07"	"TIEMONIUM IODIDE AND ANALGESICS"	"TIEMONIUM IODURE ET ANALGESIQUES"
"A03DB"	"BELLADONNA AND DERIVATIVES IN COMBINATION WITH ANALGESICS"	"BELLADONE ET DERIVES EN ASSOCIATION AVEC DES ANALGESIQUES"
"A03DB04"	"BUTYLSCOPOLAMINE AND ANALGESICS"	"BUTYLSCOPOLAMINE ET ANALGESIQUES"
"A03DC"	"OTHER ANTISPASMODICS IN COMBINATION WITH ANALGESICS"	"AUTRES ANTISPASMODIQUES EN ASSOCIATION AVEC DES ANALGESIQUES"
"A03E"	"ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS"	"ANTISPASMODIQUES ET ANTICHOLINERGIQUES ASSOCIES A D'AUTRES MEDICAMENTS"
"A03EA"	"ANTISPASMODICS, PSYCHOLEPTICS AND ANALGESICS IN COMBINATION"	"ANTISPASMODIQUES, PSYCHOLEPTIQUES ET ANALGESIQUES EN ASSOCIATION"
"A03ED"	"ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS"	"ANTISPASMODIQUES ASSOCIES A D'AUTRES MEDICAMENTS"
"A03F"	"PROPULSIVES"	"STIMULANTS DE LA MOTRICITE INTESTINALE"
"A03FA"	"PROPULSIVES"	"STIMULANT DE LA MOTRICITE INTESTINALE"
"A03FA01"	"METOCLOPRAMIDE"	"METOCLOPRAMIDE"
"A03FA02"	"CISAPRIDE"	"CISAPRIDE"
"A03FA03"	"DOMPERIDONE"	"DOMPERIDONE"
"A03FA04"	"BROMOPRIDE"	"BROMOPRIDE"
"A03FA05"	"ALIZAPRIDE"	"ALIZAPRIDE"
"A03FA06"	"CLEBOPRIDE"	"CLEBOPRIDE"
"A04"	"ANTIEMETICS AND ANTINAUSEANTS"	"ANTIEMETIQUES ET ANTINAUSEEUX"
"A04A"	"ANTIEMETICS AND ANTINAUSEANTS"	"ANTIEMETIQUE ET ANTINAUSEEUX"
"A04AA"	"SEROTONIN (5HT3) ANTAGONISTS"	"ANTAGONISTES DE LA SEROTONINE (5HT3)"
"A01AD"	"OTHER AGENTS FOR LOCAL ORAL TREATMENT"	"AUTRES MEDICAMENTS POUR TRAITEMENT ORAL LOCAL"
"A01AD01"	"EPINEPHRINE"	"EPINEPHRINE"
"A01AD02"	"BENZYDAMINE"	"BENZYDAMINE"
"A01AD05"	"ACETYLSALICYLIC ACID"	"ACETYLSALICYLIQUE ACIDE"
"A01AD06"	"ADRENALONE"	"ADRENALONE"
"A01AD07"	"AMLEXANOX"	"AMLEXANOX"
"A01AD11"	"VARIOUS"	"DIVERS"
"A02"	"DRUGS FOR ACID RELATED DESORDERS"	"MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE"
"A02A"	"ANTACIDS"	"ANTIACIDES"
"A02AA"	"MAGNESIUM COMPOUNDS"	"ANTIACIDES A BASE DE MAGNESIUM"
"A02AA01"	"MAGNESIUM CARBONATE"	"MAGNESIUM CARBONATE"
"A02AA02"	"MAGNESIUM OXIDE"	"MAGNESIUM OXYDE"
"A02AA03"	"MAGNESIUM PEROXIDE"	"MAGNESIUM PEROXYDE"
"A02AA04"	"MAGNESIUM HYDROXIDE"	"MAGNESIUM HYDROXYDE"
"A02AA05"	"MAGNESIUM SILICATE"	"MAGNESIUM SILICATE"
"A02AA10"	"COMBINATIONS"	"ASSOCIATIONS"
"A02AB"	"ALUMINIUM COMPOUNDS"	"ANTIACIDES A BASE D'ALUMINIUM"
"A02AB01"	"ALUMINIUM HYDROXIDE"	"ALUMINIUM HYDROXYDE"
"A02AB02"	"ALGELDRATE"	"ALGELDRATE"
"A02AB03"	"ALUMINIUM PHOSPHATE"	"ALUMINIUM PHOSPHATE"
"A02AB04"	"DIHYDROXIALUMINI SODIUM CARBONATE"	"DIHYDROXYALUMINIUM SODIUM CARBONATE"
"A02AB05"	"ALUMINIUM ACETOACETATE"	"ALUMINIUM ACETOACETATE"
"A02AB06"	"ALOGLUTAMOL"	"ALOGLUTAMOL"
"A02AB07"	"ALUMINIUM GLYCINATE"	"ALUMINIUM GLYCINATE"
"A02AB10"	"COMBINATIONS"	"ASSOCIATIONS"
"A02AC"	"CALCIUM COMPOUNDS"	"ANTIACIDES A BASE DE CALCIUM"
"A02AC01"	"CALCIUM CARBONATE"	"CALCIUM CARBONATE"
"A02AC02"	"CALCIUM SILICATE"	"CALCIUM SILICATE"
"A02AC10"	"COMBINATIONS"	"ASSOCIATIONS"
"A02AD"	"COMBINATIONS AND COMPLEXES OF ALUMINIUM, CALCIUM AND MAGNESIUM COMPOUNDS"	"ASSOCIATIONS ET COMPLEXES A BASE D'ALUMINIUM, DE CALCIUM ET DE MAGNESIUM"
"A02AD01"	"ORDINARY SALT COMBINATIONS"	"ASSOCIATIONS DE SELS"
"A02AD02"	"MAGALDRATE"	"MAGALDRATE"
"A02AD03"	"ALMAGATE"	"ALMAGATE"
"A02AD04"	"HYDROTALCITE"	"HYDROTALCITE"
"A02AD05"	"ALMASILATE"	"ALMASILATE"
"A02AF"	"ANTACIDS WITH ANTIFLATULENTS"	"ANTIACIDES AVEC ANTIFLATULENTS"
"A02AF01"	"MAGALDRATE AND ANTIFLATULENTS"	"MAGALDRATE ET ANTIFLATULENTS"
"A02AF02"	"ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS"	"ASSOCIATION DE SELS ET ANTIFLATULENTS"
"A02AG"	"ANTACIDS WITH ANTISPASMODICS"	"ANTIACIDES AVEC ANTISPASMODIQUES"
"A02AH"	"ANTACIDS WITH SODIUM BICARBONATE"	"ANTIACIDES AVEC BICARBONATE DE SODIUM"
"A02AX"	"ANTACIDS, OTHER COMBINATIONS"	"ANTIACIDES : AUTRES ASSOCIATIONS"
"A02B"	"DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE"	"MEDICAMENTS POUR L'ULCERE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)"
"A02BA"	"H2-RECEPTOR ANTAGONISTS"	"ANTAGONISTES DES RECEPTEURS H2"
"A02BA01"	"CIMETIDINE"	"CIMETIDINE"
"A02BA02"	"RANITIDINE"	"RANITIDINE"
"A02BA03"	"FAMOTIDINE"	"FAMOTIDINE"
"A02BA04"	"NIZATIDINE"	"NIZATIDINE"
"A02BA05"	"NIPEROTIDINE"	"NIPEROTIDINE"
"A02BA06"	"ROXATIDINE"	"ROXATIDINE"
"A02BA07"	"RANITIDINE BISMUTH CITRATE"	"RANITIDINE BISMUTH CITRATE"
"A02BA08"	"LAFUTIDINE"	"LAFUTIDINE"
"A02BA51"	"CIMETIDINE, COMBINATIONS"	"CIMETIDINE EN ASSOCIATION"
"A02BA53"	"FAMOTIDINE, COMBINATIONS"	"FAMOTIDINE EN ASSOCIATION"
"A02BB"	"PROSTAGLANDINS"	"PROSTAGLANDINES"
"A02BB01"	"MISOPROSTOL"	"MISOPROSTOL"
"A02BB02"	"ENPROSTIL"	"ENPROSTIL"
"A02BC"	"PROTON PUMP INHIBITORS"	"INHIBITEURS DE LA POMPE A PROTONS"
"A02BC01"	"OMEPRAZOLE"	"OMEPRAZOLE"
"A02BC02"	"PANTOPRAZOLE"	"PANTOPRAZOLE"
"A02BC03"	"LANSOPRAZOLE"	"LANSOPRAZOLE"
"A02BC04"	"RABEPRAZOLE"	"RABEPRAZOLE"
"A02BC05"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE"
"A02BD"	"COMBINATIONS FOR ERADICATION OF HELICOBACTER PYLORI"	"ASSOCIATIONS POUR L'ERADICATION D'HELICOBACTER PYLORI"
"A02BD01"	"OMEPRAZOLE, AMOXICILLIN AND METRONIDAZOLE"	"OMEPRAZOLE, AMOXICILLINE ET METRONIDAZOLE"
"A02BD02"	"LANSOPRAZOLE, TETRACYCLINE AND METRONIDAZOLE"	"LANSOPRAZOLE, TETRACYCLINE ET METRONIDAZOLE"
"A02BD03"	"LANSOPRAZOLE, AMOXICILLIN AND METRONIDAZOLE"	"LANSOPRAZOLE, AMOXICILLINE ET METRONIDAZOLE"
"A02BD04"	"PANTOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN"	"PANTOPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE"
"A02BD05"	"OMEPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN"	"OMEPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE"
"A02BD06"	"ESOMEPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE"	"ESOMEPRAZOLE, AMOXICILLINE ET CLARITHROMYCINE"
"A02BX"	"OTHER DRUGS FOR PEPTIC ULCER AND GASTROESOPHAGEAL REFLUX DISEASE"	"AUTRES MEDICAMENTS POUR L'ULCERE PEPTIQUE ET LE REFLUX GASTRO-OESOPHAGIEN (RGO)"
"A02BX01"	"CARBENOXOLONE"	"CARBENOXOLONE"
"A02BX02"	"SUCRALFATE"	"SUCRALFATE"
"A02BX03"	"PIRENZEPINE"	"PIRENZEPINE"
"A02BX04"	"METHIOSULFONIUM CHLORIDE"	"METHIOSULFONIUM CHLORURE"
"A02BX05"	"BISMUTH SUBCITRATE"	"BISMUTH SUBCITRATE"
"A02BX06"	"PROGLUMIDE"	"PROGLUMIDE"
"A02BX07"	"GEFARNATE"	"GEFARNATE"
"A02BX08"	"SULGLICOTIDE"	"SULGLICOTIDE"
"A02BX09"	"ACETOXOLONE"	"ACETOXOLONE"
"A02BX10"	"ZOLIMIDINE"	"ZOLIMIDINE"
"A02BX11"	"TROXIPIDE"	"TROXIPIDE"
"A02BX12"	"BISMUTH SUBNITRATE"	"BISMUTH SOUS NITRATE"
"A02BX13"	"ALGINIC ACID"	"ALGINIQUE ACIDE"
"A02BX51"	"CARBENOXOLONE, COMBINATIONS EXCL. PSYCHOLEPTICS"	"CARBENOXOLONE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES"
"A02BX71"	"CARBENOXOLONE, COMBINATIONS WITH PSYCHOLEPTICS"	"CARBENOXOLONE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES"
"A02BX77"	"GEFARNATE, COMBINATIONS WITH PSYCHOLEPTICS"	"GEFARNATE EN ASSOCIATION AVEC DES PSYCHOLEPTIQUES"
"A02X"	"OTHER ANTACIDS, DRUGS FOR TREATMENT OF PEPTIC ULCER AND FLATULENCE"	"AUTRES ANTIACIDES, MEDICAMENTS DE L'ULCERE PEPTIQUE ET DES FLATULENCES"
"A03"	"DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS"	"MEDICAMENTS CONTRE LES DESORDRES FONCTIONNELS GASTRO-INTESTINAUX"
"A03A"	"DRUGS FOR FUNCTIONAL BOWEL DISORDERS"	"MEDICAMENTS CONTRE LES DESORDRES FONCTIONNELS INTESTINAUX"
"A03AA"	"SYNTHETIC ANTICHOLINERGICS, ESTERS WITH TERTIARY AMINO GROUP"	"ANTICHOLINERGIQUES DE SYNTHESE : ESTERS AVEC GROUPEMENT AMINE TERTIAIRE"
"A03AA01"	"OXYPHENCYCLIMINE"	"OXYPHENCYCLIMINE"
"A03AA03"	"CAMYLOFIN"	"CAMYLOFINE"
"A03AA04"	"MEBEVERINE"	"MEBEVERINE"
"A03AA05"	"TRIMEBUTINE"	"TRIMEBUTINE"
"A03AA06"	"ROCIVERINE"	"ROCIVERINE"
"A03AA07"	"DICYCLOVERINE"	"DICYCLOVERINE"
"A03AA08"	"DIHEXYVERINE"	"DIHEXYVERINE"
"A03AA09"	"DIFEMERINE"	"DIFEMERINE"
"A03AA30"	"PIPERIDOLATE"	"PIPERIDOLATE"
"A03AB"	"SYNTHETIC ANTICHOLINERGICS, QUATERNARY AMMONIUM COMPOUNDS"	"ANTICHOLINERGIQUES DE SYNTHESE : AMMONIUMS QUATERNAIRES"
"A03AB01"	"BENZILONE"	"BENZILONE"
"A03AB02"	"GLYCOPYRRONIUM"	"GLYCOPYRRONIUM"
"A03AB03"	"OXYPHENONIUM"	"OXYPHENONIUM"
"A03AB04"	"PENTHIENATE"	"PENTHIENATE"
"A03AB05"	"PROPANTHELINE"	"PROPANTHELINE"
"A03AB06"	"OTILONIUM BROMIDE"	"OTILONIUM BROMURE"
"A03AB07"	"METHANTHELINE"	"METHANTHELINE"
"A03AB08"	"TRIDIHEXETHYL"	"TRIDIHEXETHYL"
"A03AB09"	"ISOPROPAMIDE"	"ISOPROPAMIDE"
"A03AB10"	"HEXOCYCLIUM"	"HEXOCYCLIUM"
"A03AB11"	"POLDINE"	"POLDINE"
"A03AB12"	"MEPENZOLATE"	"MEPENZOLATE"
"A03AB13"	"BEVONIUM"	"BEVONIUM"
"A03AB14"	"PIPENZOLATE"	"PIPENZOLATE"
"A03AB15"	"DIPHEMANIL"	"DIPHEMANIL"
"A03AB16"	"(2-BENZHYDRYLOXYETHYL)DIETHYL-METHYLAMMONIUM IODIDE"	"(2-BENZHYDRYLOXYETHYL) DIETHYLMETHYLAMMONIUM IODURE"
"A03AB17"	"TIEMONIUM IODIDE"	"TIEMONIUM IODURE"
"A03AB18"	"PRIFINIUM BROMIDE"	"PRIFINIUM BROMURE"
"A03AB19"	"TIMEPIDIUM BROMIDE"	"TIMEPIDIUM BROMURE"
"A03AB21"	"FENPIVERINIUM"	"FENPIVERINIUM"
"A03AB53"	"OXYPHENONIUM, COMBINATIONS"	"OXYPHENONIUM EN ASSOCIATION"
"A03AC"	"SYNTHETIC ANTISPASMODICS, AMIDES WITH TERTIARY AMINES"	"ANTISPASMODIQUES DE SYNTHESE : AMIDES AVEC GROUPEMENT AMINE TERTIAIRE"
"A03AC02"	"DIMETHYLAMINOPROPIONYLPHENOTHIAZINE"	"DIMETHYLAMINOPROPIONYLPHENOTHIAZINE"
"A03AC04"	"NICOFETAMIDE"	"NICOFETAMIDE"
"A03AC05"	"TIROPRAMIDE"	"TIROPRAMIDE"
"A03AD"	"PAPAVERINE AND DERIVATIVES"	"PAPAVERINE ET DERIVES"
"A03AD01"	"PAPAVERINE"	"PAPAVERINE"
"A03AD02"	"DROTAVERINE"	"DROTAVERINE"
"A03AD30"	"MOXAVERINE"	"MOXAVERINE"
"A03AD51"	"PAPAVERINE, COMBINATIONS"	"PAPAVERINE EN ASSOCIATION"
"A03AE"	"DRUGS ACTING ON SEROTONIN RECEPTORS"	"MEDICAMENTS AGISSANT SUR LES RECEPTEURS SEROTONINERGIQUES"
"A03AE01"	"ALOSETRON"	"ALOSETRON"
"A03AE02"	"TEGASEROD"	"TEGASEROD"
"A03AX"	"OTHER DRUGS FOR FUNCTIONAL BOWEL DISORDERS"	"AUTRES MEDICAMENTS CONTRE LES DESORDRES FONCTIONNELS INTESTINAUX"
"A03AX01"	"FENPIPRANE"	"FENPIPRANE"
"A03AX02"	"DIISOPROMINE"	"DIISOPROMINE"
"A03AX03"	"CHLORBENZOXAMINE"	"CHLORBENZOXAMINE"
"A03AX04"	"PINAVERIUM"	"PINAVERIUM"
"A03AX05"	"FENOVERINE"	"FENOVERINE"
"A03AX06"	"IDANPRAMINE"	"IDANPRAMINE"
"A03AX07"	"PROXAZOLE"	"PROXAZOLE"
"A03AX08"	"ALVERINE"	"ALVERINE"
"A03AX09"	"TREPIBUTONE"	"TREPIBUTONE"
"A03AX10"	"ISOMETHEPTENE"	"ISOMETHEPTENE"
"A03AX11"	"CAROVERINE"	"CAROVERINE"
"A03AX12"	"PHLOROGLUCINOL"	"PHLOROGLUCINOL"
"A03AX13"	"SILICONES"	"SILICONES"
"A03AX30"	"TRIMETHYLDIPHENYLPROPYLAMINE"	"TRIMETHYLDIPHENYLPROPYLAMINE"
"A03AX58"	"ALVERINE, COMBINATIONS"	"ALVERINE EN ASSOCIATION"
"A03B"	"BELLADONNA AND DERIVATIVES, PLAIN"	"BELLADONE ET DERIVES"
"A03BA"	"BELLADONNA ALKALOIDS, TERTIARY AMINES"	"ALCALOÏDES DE LA BELLADONE : AMINES TERTIAIRES"
"A03BA01"	"ATROPINE"	"ATROPINE"
"A03BA03"	"HYOSCYAMINE"	"HYOSCYAMINE"
"A03BA04"	"BELLADONNA TOTAL ALKALOIDS"	"ALCALOÏDES TOTAUX DE LA BELLADONE"
"A03BB"	"BELLADONNA ALKALOIDS, SEMISYNTHETIC, QUATERNARY AMMONIUM COMPOUNDS"	"ALCALOÏDES HEMISYNTHETIQUES DE LA BELLADONE : AMMONIUMS QUATERNAIRES"
"A03BB01"	"BUTYLSCOPOLAMINE"	"BUTYLSCOPOLAMINE"
"A03BB02"	"METHYLATROPINE"	"METHYLATROPINE"
"A03BB03"	"METHYLSCOPOLAMINE"	"METHYLSCOPOLAMINE"
"A03BB04"	"FENTONIUM"	"FENTONIUM"
"A03BB05"	"CIMETROPIUM BROMIDE"	"CIMETROPIUM BROMURE"
"A04AA01"	"ONDANSETRON"	"ONDANSETRON"
"A04AA02"	"GRANISETRON"	"GRANISETRON"
"A04AA03"	"TROPISETRON"	"TROPISETRON"
"A04AA04"	"DOLASETRON"	"DOLASETRON"
"A04AD"	"OTHER ANTIEMETICS"	"AUTRES ANTIEMETIQUES"
"A04AD01"	"SCOPOLAMINE"	"SCOPOLAMINE"
"A04AD02"	"CERIUM OXALATE"	"CERIUM OXALATE"
"A04AD04"	"CHLOROBUTANOL"	"CHLOROBUTANOL"
"A04AD05"	"METOPIMAZINE"	"METOPIMAZINE"
"A04AD10"	"DRONABINOL"	"DRONABINOL"
"A04AD11"	"NABILONE"	"NABILONE"
"A04AD12"	"APREPITANT"	"APREPITANT"
"A04AD51"	"SCOPOLAMINE, COMBINATIONS"	"SCOPOLAMINE EN ASSOCIATION"
"A04AD54"	"CHLOROBUTANOL, COMBINATIONS"	"CHLOROBUTANOL EN ASSOCIATION"
"A05"	"BILE AND LIVER THERAPY"	"THERAPEUTIQUE HEPATIQUE ET BILIAIRE"
"A05A"	"BILE THERAPY"	"THERAPEUTIQUE BILIAIRE"
"A05AA"	"BILE ACID PREPARATIONS"	"ACIDES BILIAIRES"
"A05AA01"	"CHENODEOXYCHOLIC ACID"	"CHENODESOXYCHOLIQUE ACIDE"
"A05AA02"	"URSODEOXYCHOLIC ACID"	"URSODESOXYCHOLIQUE ACIDE"
"A05AB"	"PREPARATIONS FOR BILIARY TRACT THERAPY"	"MEDICAMENTS DU TRACTUS BILIAIRE"
"A05AB01"	"NICOTINYL METHYLAMIDE"	"NICOTINYL METHYLAMIDE"
"A05AX"	"OTHER DRUGS FOR BILE THERAPY"	"AUTRES MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE"
"A05AX01"	"PIPROZOLIN"	"PIPROZOLINE"
"A05AX02"	"HYMECROMONE"	"HYMECROMONE"
"A05AX03"	"CYCLOBUTYROL"	"CYCLOBUTYROL"
"A05B"	"LIVER THERAPY, LIPOTROPICS"	"THERAPEUTIQUE HEPATIQUE, LIPOTROPIQUES"
"A05BA"	"LIVER THERAPY"	"THERAPEUTIQUE HEPATIQUE"
"A05BA01"	"ARGININE GLUTAMATE"	"ARGININE GLUTAMATE"
"A05BA03"	"SILYMARIN"	"SILYMARINE"
"A05BA04"	"CITIOLONE"	"CITIOLONE"
"A05BA05"	"EPOMEDIOL"	"EPOMEDIOL"
"A05BA06"	"ORNITHINE OXOGLURATE"	"ORNITHINE OXOGLUTARATE"
"A05BA07"	"TIDIACIC ARGININE"	"TIDIACIC ARGININE"
"A05C"	"DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION"	"MEDICAMENTS POUR LA THERAPEUTIQUE BILIAIRE ET LIPOTROPIQUES EN ASSOCIATION"
"A06"	"LAXATIVES"	"LAXATIFS"
"A06A"	"LAXATIVES"	"LAXATIF"
"A06AA"	"SOFTENERS, EMOLLIENTS"	"LAXATIFS LUBRIFIANTS"
"A06AA01"	"LIQUID PARAFFIN"	"HUILE DE PARAFFINE"
"A06AA02"	"DOCUSATE SODIUM"	"DOCUSATE SODIQUE"
"A06AA51"	"LIQUID PARAFFIN, COMBINATIONS"	"HUILE DE PARAFFINE EN ASSOCIATION"
"A06AB"	"CONTACT LAXATIVES"	"LAXATIFS STIMULANTS"
"A06AB01"	"ACETPHENOLISATIN"	"OXYPHENISATINE DIACETATE"
"A06AB02"	"BISACODYL"	"BISACODYL"
"A06AB03"	"DANTRON"	"DANTRON"
"A06AB04"	"PHENOLPHTHALEIN"	"PHENOLPHTALEINE"
"A06AB05"	"CASTOR OIL"	"HUILE DE RICIN"
"A06AB06"	"SENNA GLYCOSIDES"	"GLYCOSIDES DE SENE"
"A06AB07"	"CASCARA"	"CASCARA"
"A06AB08"	"SODIUM PICOSULFATE"	"SODIUM PICOSULFATE"
"A06AB09"	"BISOXATIN"	"BISOXATIN"
"A06AB20"	"CONTACT LAXATIVES IN COMBINATION"	"LAXATIFS STIMULANTS EN ASSOCIATION"
"A06AB30"	"CONTACT LAXATIVES IN COMBINATION WITH BELLADONNA ALKALOIDS"	"LAXATIFS STIMULANTS EN ASSOCIATION AVEC ALCALOÏDES DE BELLADONE"
